"","Met6474","Met6479","Met6484","Met6490","Met6495","Met6500","Met6506","Met6511","Met6516","Met6522","Met6527","Met7077","Met7082","Met7087","Met7093","Met7098","Met8116","Met8121","Genus"
"1912216",2420186,7979880,1298040,1113257,11378054,1431464,8920992,2925567,1126670,745060,4272760,1051319,377805,4893437,487837,810930,19866614,4129489,"Cutibacterium"
"1839",37,348,23,110,365,2038,1131,80,41,62,200,581,172,95,2343,94,52,47,"Nocardioides"
"1847725",896491,4646738,1581677,1280281,307,245634,24197,10648,76092,240,55381,28322,614,5807916,236,112941,104,2177371,"Lawsonella"
"1716",1770,25697,96527,119608,42665,34149,339301,15298,907278,2869159,980804,213866,2491058,2748,2749,327321,37412,24468,"Corynebacterium"
"1866885",376,3786,129,138,1102,477,63097,1136,100,114,2654,2022,489,1116,488,123,88,907,"Mycolicibacterium"
"1763",353,309,12,20,371,261,3194,517,0,27,373,368,260,370,201,49,99,226,"Mycobacterium"
"2053",30,215,19,36,1097,103,1197,68,40,142,415,2684,3492,588,324,40,19,37,"Gordonia"
"1269",476,7684,14,762,239,5769,10518,2822,223,658,361,54309,4042,775,901,2752,138,588,"Micrococcus"
"57493",268,329,24,95,1316,263,1820,155,17,184,558,13536,9330,78,1643,718,41,132,"Kocuria"
"32207",53,2474,746,531,4865,622,9924,9410,3008,175,2995,10118,21316,798,959,346,1631,5128,"Rothia"
"33882",40,311,22,79,511,1614,7498,151,188,146,330,2517,307,152,686,189,56,58,"Microbacterium"
"43668",47,57,0,104,1817,77,580,23,14,38,1432,1479,164,26,1008,224,0,0,"Brachybacterium"
"1696",42,79,0,1260,477,59,770,40,0,67,2464,1208,2704,19,325,89,404,28,"Brevibacterium"
"53457",21,84,0,24,466,119,336,23,20,18,39,1653,38,0,908,332,0,17,"Janibacter"
"57495",16,16,0,29,17,69,196,0,162,960,1156,3563,220,40,186,93,0,845,"Dermacoccus"
"1654",77,1226,593,455,1546,286,6067,2409,2326,134,25261,11443,39112,5766,454,4594,1572,26327,"Actinomyces"
"2529408",14,236,43,305,309,222,3906,503,264,22,905,3697,3556,263,342,128,274,5928,"Schaalia"
"1678",15,3447,0,81,176,49,292491,128,26,1755,32,1238,75,20,64,117,49,39,"Bifidobacterium"
"1279",102066,217075,211497,1318325,820210,276338,559444,5510,6691,40582,319033,280558,660432,702540,411129,39513,333518,1438653,"Staphylococcus"
"1378",11,328,70,125,740,236,3582,116,235,105,502,9105,2060,163,171,50,325,2858,"Gemella"
"1301",2011,12224,5782,11789,9609,5453,57623,9428,14058,1535,20348,111417,133287,4861,3279,4522,6596,41040,"Streptococcus"
"1357",21,142,0,239,60,201,3297,121,59,339,374,2707,547,56,434,46,125,343,"Lactococcus"
"1578",245,252,20,605,927,11722,174145,114,363,336,1202,1249,1244,949,66,1396,10295,3929,"Lactobacillus"
"1375",13,73,0,402,31,44,6830,31,0,35,32,1031,48,0,34,26,651,0,"Aerococcus"
"165779",5167,5327,2754,4487,2132,1158,19235,848,1047,1169,336,2279,1095,8896,261,5973,495,7838,"Anaerococcus"
"150022",24,479,17,587,1524,419,21910,184,124,1201,375,619,540,23,126,55,437,588,"Finegoldia"
"29465",31,277,58,569,1572,456,3932,2473,2290,64,12026,12370,6531,776,731,541,731,6795,"Veillonella"
"286",5041,107827,395,1185,17504,1376,31420,2860,1959,2295,30938,30001,2193,1638,3175,1463,1365,1678,"Pseudomonas"
"2901164",64,590,16,11,763,33,1068,54,0,14,48,901,39,33,175,1164,0,0,"Stutzerimonas"
"547",1389,9890,0,261,445,52,2046,36,1302,102,781,8147,36,167,296,477,25,332,"Enterobacter"
"83654",29,243,0,36,0,0,102,0,0,18,18,25474,15,20,21,59,0,0,"Leclercia"
"570",17,15315,58,209,528,685,1472,428,34,63,374,10588,146,130,389,134,35,232,"Klebsiella"
"2100764",155,116,0,549,0,35,40,0,0,32,0,4109,0,12,0,91,0,0,"Mixta"
"53335",12,8407,54,510,410,82,5124,32,18,321,1083,8061,737,43,218,2156,81,71,"Pantoea"
"469",609,6307,164,4501,1304,1548,41016,2303,776,562,5196,17805,1092,390,2919,3264,322,450,"Acinetobacter"
"475",157,4745,30,1918,4372,614,16637,646,1520,624,4162,12838,7607,163,1020,367,107,205,"Moraxella"
"83614",126,530,181,1712,10,1106,1405,98,83,0,29,453,29528,191,42,145,0,442,"Luteimonas"
"40323",113,519,17,102,194,142,12045,137,63,230,9119,3960,218,61,262,73,123,32,"Stenotrophomonas"
"338",16,373,14,277,421,1691,2048,1458,196,3087,495,1177,87,179,617,2967,53,1318,"Xanthomonas"
"724",78,374,65,280,1082,492,9429,126,2486,49,2427,11335,3547,784,146,108,405,4860,"Haemophilus"
"357",231,547,1000,3436,313,2412,4105,103,115,52,2146,990,283,13587,355,97,1941,5519,"Agrobacterium"
"407",23,154,56,172,167,186,5006,51,17,65,609,753,203,69,380,48,23,52,"Methylobacterium"
"374",68,513,88,67,572,1200,2125,39,24,26,343,460,213,95,512,109,455,241,"Bradyrhizobium"
"234",15,75,0,0,19,11,282,0,0,0,0,908,45,0,64,11,12,0,"Brucella"
"165695",191,192,17,57,452,84,3796,102,94,29,10142,3886,546,136,9520,70,135,123,"Sphingobium"
"13687",106,266,24,142,664,723,26791,153,134,187,558,3241,224,158,1149,86,112,192,"Sphingomonas"
"265",148,1915,0,89,1602,108,6891,149,31,73,121,9364,572,229,969,669,19,16,"Paracoccus"
"41275",53,1007,15,143,1189,308,35057,96,59,67,602,5632,340,50,325,121,85,100,"Brevundimonas"
"125216",74,197,0,31,230,414,7638,52,358,813,285,2927,216,159,523,74,0,16,"Roseomonas"
"80865",67,143,0,0,77,170,4461,52,0,17,59,2255,45,0,302,12,143,25,"Delftia"
"482",27,153,104,342,436,428,11027,341,209,0,155,4041,4297,274,134,54,234,6502,"Neisseria"
"836",66,770,99,469,736,374,5591,105,113,106,3710,10581,193,370,335,86,710,5047,"Porphyromonas"
"838",51,477,89,896,1702,392,135913,2308,758,1474,2299,35434,3653,4175,1573,478,1007,69813,"Prevotella"
"59732",40,389,0,110,114,114,1908,49,22,21,294,1651,133,56,131,25,26,20,"Chryseobacterium"
"848",23,146,48,101,252,72,1694,78,125,14,1594,2399,3536,903,156,193,187,9608,"Fusobacterium"
"55193",1117989,4792356,3967525,5267686,590,389635,523466,1015716,1222367,4245,9510,78270,1304386,1997387,46266,1083471,25790,11228757,"Malassezia"
"1982251",30,734,278,61,91,1336,1799,417,118,0,440,1583,5617,40,57,186,84,915,"Pahexavirus"
"2843445",47,0,0,1257,0,45,0,0,0,0,0,0,0,0,0,0,0,0,"Rockefellervirus"
"2742598",0,0,33,20,27,85,878,10,0,39,149,59,57,29,39,2122,54,20,"Limosilactobacillus"
"117563",0,184,96,112,235,146,2051,234,162,39,1213,6710,2537,125,42,18,310,1145,"Granulicatella"
"46123",0,56,66,85,76,13,5020,94,324,0,0,2110,1452,0,0,10,98,1148,"Abiotrophia"
"162289",0,402,0,358,1470,226,12621,157,36,770,351,532,347,47,43,101,450,322,"Peptoniphilus"
"1766253",0,21,0,90,0,13,357,0,0,12,0,583,115,0,30,31,24,48,"Agathobacter"
"86331",0,10,0,22,27,10,256,79,29,0,109,556,165,192,94,10,23,7475,"Mogibacterium"
"216851",0,0,0,62,0,123,4444,47,0,210,0,517,21,0,29,57,18,94,"Faecalibacterium"
"1827",0,102,0,35,132,193,12876,17,71,49,781,1526,118,28,379,32,0,12,"Rhodococcus"
"36739",0,192,0,137,107,247,302,20,0,177,99,178,552,0,12,0,192,44,"Dermabacter"
"2701",0,1270,0,0,106,79,194896,654,0,1077,46,1212,94,0,0,82,36,0,"Gardnerella"
"2692118",0,0,21,39,1484,26,2080,0,0,396,190,41,98,0,171,15,545,349,"Winkia"
"184869",0,27,0,15,164,21,1592,0,0,124,11,48,158,0,0,0,235,54,"Varibaculum"
"497",0,200,0,277,85,74,6882,23,22,0,16,1173,553,0,69,127,0,0,"Psychrobacter"
"1330546",0,970552,0,0,0,0,16204,0,0,0,0,34,0,0,95,47,0,0,"Pluralibacter"
"416916",0,27,0,12,49,0,268,26,32,0,255,717,381,101,0,0,61,898,"Aggregatibacter"
"262",0,289,1888,268,22,1371,158,0,515,2703,10,568,5513,4916,25,84,0,53,"Francisella"
"283",0,172,0,47,118,90,1602,360,11,107,14,567,55,25,71,24,67,42,"Comamonas"
"12916",0,74,0,39,186,73,1031,291,29,0,34,153,126,27,1119,16,0,18,"Acidovorax"
"47670",0,346,3829,65,29,137,428,27,105,12,3963,1130,221,358,0,43,31,1552,"Lautropia"
"2974257",0,58,0,116,88,53,24966,56,29,651,37,664,111,159,20,41,133,4138,"Hoylesella"
"816",0,68,0,27,156,65,6046,61,0,1215,317,898,69,22,121,26,72,306,"Bacteroides"
"28453",0,37,0,78,35,18,1221,12,0,19,105,535,43,0,78,0,0,11,"Sphingobacterium"
"32067",0,55,11,67,182,14,386,131,127,0,389,727,2210,200,23,170,36,1953,"Leptotrichia"
"2050",0,0,0,0,15,20,19587,0,13,0,0,14,27,0,0,14,0,86,"Mobiluncus"
"2767327",0,1278,0,0,0,0,149310,157,0,1524,0,1105,0,0,0,71,0,0,"Fannyhessea"
"2767353",0,13,0,17,11,11,103,58,18,0,125,435,1018,139,30,73,20,1196,"Lancefieldella"
"133925",0,24,0,0,89,0,50,0,37,0,35,150,0,1001,0,92,12,119,"Olsenella"
"1243",0,214,0,900,81,17,1050,11,0,32,22,2896,83,21,548,17,11,0,"Leuconostoc"
"2759736",0,19,0,39,0,0,126,0,0,0,79,52,0,0,0,2132,0,0,"Lacticaseibacillus"
"1350",0,102,0,27,68,21,1304,24,66,55,64,218,92,0,76,0,492,64,"Enterococcus"
"572511",0,64,0,59,85,72,2061,20,0,443,441,447,34,0,48,34,17,207,"Blautia"
"1164882",0,10,0,18,16,13,227,14,0,0,79,225,93,87,16,30,14,1251,"Lachnoanaerobaculum"
"543311",0,50,15,0,58,0,215,0,18,12,39,656,564,268,18,11,50,556,"Parvimonas"
"39948",0,50,0,25,90,26,1055,34,30,52,33,237,2333,247,0,30,61,4725,"Dialister"
"970",0,22,0,11,208,0,124,34,32,0,62,229,249,331,0,66,24,4592,"Selenomonas"
"2895509",0,0,0,0,0,0,0,0,0,0,0,0,241,11,0,0,0,0,"Metamycoplasma"
"745",0,45,0,0,22,49,458,0,0,44,230,33,133,0,57,0,432,30,"Pasteurella"
"544",0,918,0,0,10,0,394,271,31,10,54,753,330,0,35,14,418,17,"Citrobacter"
"561",0,6657,0,0,100,0,1510,214,0,4022,199,13496,633,0,129,404,144,0,"Escherichia"
"613",0,605,0,0,35,14,348,18,184,26,18,235,22,0,82,0,201,0,"Serratia"
"642",0,444,16,32,122,93,2417,65,23,41,74,1625,633,33,454,66,94,25,"Aeromonas"
"53246",0,0,0,0,0,0,742,0,0,0,0,54,24,0,1554,14,0,0,"Pseudoalteromonas"
"662",0,16,0,28,0,12,477,10,0,0,0,25,81,12,3235,0,0,22,"Vibrio"
"366614",0,15,0,0,0,81,500,0,0,0,0,2804,0,0,32,105,0,0,"Haematobacter"
"32008",0,60,0,37,59,605,2327,142,14,64,26,109,137,0,669,9259,72,30,"Burkholderia"
"909656",0,15,0,34,72,54,3818,24,0,305,537,428,25,0,124,0,14,186,"Phocaeicola"
"195950",0,51,0,13,71,0,511,33,0,11,153,412,949,282,0,29,41,1617,"Tannerella"
"1016",0,223,103,57,186,141,1640,135,79,67,1338,1320,3228,548,76,298,246,4845,"Capnocytophaga"
"2782229",0,411,0,115,12,36,611,0,0,0,0,262,81,0,66,23,0,0,"Epilithonimonas"
"194",0,113,0,27,189,53,738,59,67,86,144,470,541,205,48,22,172,890,"Campylobacter"
"2093823",0,24,0,38,19,34,309,89,34,0,185,955,654,119,69,0,72,590,"Candidatus Nanosynbacter"
"157",0,74,0,0,107,0,99,0,13,0,235,961,530,607,0,23,17,3599,"Treponema"
"104267",0,0,0,0,0,0,15,0,0,0,0,0,0,0,1131,0,0,0,"Tenacibaculum"
"1335483",0,6303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Shimwellia"
"226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13484,0,0,0,"Alteromonas"
"444051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1286,0,0,0,"Mesoflavibacter"
